City_ID,City,Lat,Lon,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description,Date
0,Bredasdorp,-34.5322,20.0403,283.53,73,0,2.55,ZA,clear sky,2024-05-10 03:48:04
1,Port Saint John'S,-31.6229,29.5448,294.14,51,5,2.53,ZA,clear sky,2024-05-10 03:48:04
2,Chon Buri,13.3,101.3,309.5,56,100,2.3,TH,overcast clouds,2024-05-10 03:48:04
3,Benjamin Constant,-4.3831,-70.0311,298.22,98,25,0.27,BR,scattered clouds,2024-05-10 03:48:04
4,Yellowknife,62.456,-114.3525,285.44,59,20,4.63,CA,few clouds,2024-05-10 03:48:05
5,Ilulissat,69.2167,-51.1,265.16,79,75,2.06,GL,broken clouds,2024-05-10 03:48:05
6,Blackmans Bay,-43.0167,147.3167,287.44,89,93,0.45,AU,overcast clouds,2024-05-10 03:48:05
7,Yokadouma,3.5167,15.05,295.02,96,100,0.63,CM,overcast clouds,2024-05-10 03:48:05
8,Hawaiian Paradise Park,19.5933,-154.9731,297.52,86,100,3.6,US,light rain,2024-05-10 03:48:05
9,Adamstown,-25.066,-130.1015,295.57,79,87,4.68,PN,light rain,2024-05-10 03:46:49
10,Hadibu,12.65,54.0333,301.88,69,74,0.24,YE,broken clouds,2024-05-10 03:48:06
11,Constantia,44.1833,28.65,283.54,77,19,6.37,RO,few clouds,2024-05-10 03:43:47
12,Remire-Montjoly,4.9167,-52.2667,298.17,100,0,1.03,GF,clear sky,2024-05-10 03:48:06
13,La Passe,45.5549,-0.8967,286.16,91,20,3.79,FR,few clouds,2024-05-10 03:48:06
14,Muli,2.9167,73.5667,302.5,75,88,4.56,MV,overcast clouds,2024-05-10 03:48:06
15,Pyhajarvi,67.0701,27.2176,270.99,96,97,1.24,FI,snow,2024-05-10 03:48:06
16,St. John'S,47.5649,-52.7093,276.36,94,100,1.79,CA,overcast clouds,2024-05-10 03:43:25
17,Port-Aux-Francais,-49.35,70.2167,279.94,91,100,17.4,TF,overcast clouds,2024-05-10 03:48:07
18,Qalat,32.1058,66.9083,296.87,33,79,1.64,AF,broken clouds,2024-05-10 03:48:07
19,Ribeira Grande,38.5167,-28.7,290.8,91,24,3.58,PT,few clouds,2024-05-10 03:48:07
20,Asino,56.9979,86.1452,288.49,49,100,4.87,RU,overcast clouds,2024-05-10 03:48:07
21,Tongouson,5.0214,120.1328,302.57,74,85,2.86,PH,overcast clouds,2024-05-10 03:48:07
22,Margaret River,-33.95,115.0667,294.49,72,54,9.24,AU,broken clouds,2024-05-10 03:48:08
23,Chonchi,-42.6128,-73.8092,278.71,93,41,0.75,CL,scattered clouds,2024-05-10 03:48:08
